age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,balance_group,age_group,day_group,pdays_group,duration_group,campaign_group,duration_age,duration_campaign_ratio,duration_ratio
32,admin.,single,tertiary,no,1583,yes,no,cellular,19,nov,100,1,182,1,failure,no,1k to 10k,30-39,Day 16-20,6-12 months,0-119s,1,3.125,50.0,0.3788434256294574
27,services,single,secondary,no,3354,yes,no,cellular,14,may,493,5,-1,0,unknown,no,1k to 10k,20-29,Day 11-15,Never contacted,480-599s,4-5,18.25925925925926,82.16666666666667,1.867698088353225
58,technician,divorced,secondary,no,-123,no,no,cellular,5,aug,131,2,-1,0,unknown,no,-1k to 0,50-59,Day 1-5,Never contacted,120-239s,2,2.2586206896551726,43.666666666666664,0.4962848875745892
30,management,married,tertiary,no,1476,yes,yes,unknown,3,jun,199,4,-1,0,unknown,no,1k to 10k,30-39,Day 1-5,Never contacted,120-239s,4-5,6.633333333333334,39.8,0.7538984170026203
34,entrepreneur,married,tertiary,no,355,yes,no,unknown,16,may,261,1,-1,0,unknown,no,0 to 1k,30-39,Day 16-20,Never contacted,240-359s,1,7.676470588235294,130.5,0.9887813408928838
46,admin.,married,secondary,no,-121,yes,yes,cellular,8,jul,214,4,-1,0,unknown,no,-1k to 0,40-49,Day 6-10,Never contacted,120-239s,4-5,4.6521739130434785,42.8,0.8107249308470389
33,management,single,tertiary,no,23,no,no,cellular,20,aug,216,3,-1,0,unknown,no,0 to 1k,30-39,Day 16-20,Never contacted,120-239s,3,6.545454545454546,54.0,0.818301799359628
26,student,single,secondary,no,-147,no,no,unknown,4,jun,95,2,-1,0,unknown,no,-1k to 0,20-29,Day 1-5,Never contacted,0-119s,2,3.6538461538461537,31.666666666666668,0.35990125434798453
59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,-1,0,unknown,no,-1k to 0,50-59,Day 1-5,Never contacted,120-239s,1,3.830508474576271,113.0,0.8561861419225737
24,blue-collar,married,secondary,no,204,yes,yes,cellular,17,apr,229,3,-1,0,unknown,no,0 to 1k,20-29,Day 16-20,Never contacted,120-239s,3,9.541666666666666,57.25,0.8675514446914575
28,blue-collar,single,secondary,no,1065,yes,yes,cellular,17,apr,406,1,317,1,failure,no,1k to 10k,20-29,Day 16-20,6-12 months,360-479s,1,14.5,203.0,1.5381043080555972
37,admin.,married,secondary,no,7,yes,no,cellular,27,may,224,7,105,1,other,no,0 to 1k,30-39,Day 26-31,3-6 months,120-239s,6-7,6.054054054054054,28.0,0.8486092734099846
34,technician,single,secondary,no,179,no,no,cellular,19,aug,294,3,-1,0,unknown,no,0 to 1k,30-39,Day 16-20,Never contacted,240-359s,3,8.647058823529411,73.5,1.1137996713506049
35,management,single,tertiary,no,747,no,no,cellular,23,feb,141,2,176,3,failure,no,0 to 1k,30-39,Day 21-25,3-6 months,120-239s,2,4.0285714285714285,47.0,0.5341692301375349
41,management,married,tertiary,no,10758,yes,no,cellular,1,jun,288,1,-1,0,unknown,no,10k to 50k,40-49,Day 1-5,Never contacted,240-359s,1,7.024390243902439,144.0,1.0910690658128372
51,unemployed,married,secondary,no,-13,yes,no,cellular,13,may,361,1,364,1,failure,no,-1k to 0,50-59,Day 11-15,6-12 months,360-479s,1,7.078431372549019,180.5,1.3676247665223413
60,admin.,married,secondary,no,3735,no,no,cellular,22,dec,190,1,188,9,success,yes,1k to 10k,60-69,Day 21-25,6-12 months,120-239s,1,3.1666666666666665,95.0,0.7198025086959691
55,blue-collar,married,primary,no,1086,yes,no,cellular,6,may,146,1,272,2,failure,no,1k to 10k,50-59,Day 6-10,6-12 months,120-239s,1,2.6545454545454548,73.0,0.5531114014190078
36,self-employed,married,tertiary,no,307,yes,no,cellular,14,may,341,1,330,2,other,no,0 to 1k,30-39,Day 11-15,6-12 months,240-359s,1,9.472222222222221,170.5,1.2918560813964497
40,management,married,tertiary,no,5,yes,no,cellular,18,nov,219,3,-1,0,unknown,no,0 to 1k,40-49,Day 16-20,Never contacted,120-239s,3,5.475,54.75,0.8296671021285117
51,blue-collar,married,primary,no,1869,no,no,unknown,17,jun,30,3,-1,0,unknown,no,1k to 10k,50-59,Day 16-20,Never contacted,0-119s,3,0.5882352941176471,7.5,0.11365302768883723
51,self-employed,married,primary,no,2094,no,no,cellular,8,jun,458,6,-1,0,unknown,yes,1k to 10k,50-59,Day 6-10,Never contacted,360-479s,6-7,8.980392156862745,65.42857142857143,1.735102889382915
55,blue-collar,married,secondary,no,471,yes,no,unknown,30,may,58,2,-1,0,unknown,no,0 to 1k,50-59,Day 26-31,Never contacted,0-119s,2,1.0545454545454545,19.333333333333332,0.2197291868650853
39,technician,married,secondary,no,147,yes,no,cellular,6,may,151,2,-1,0,unknown,no,0 to 1k,30-39,Day 6-10,Never contacted,120-239s,2,3.871794871794872,50.333333333333336,0.5720535727004807
45,technician,single,secondary,no,410,yes,no,unknown,30,may,891,4,-1,0,unknown,yes,0 to 1k,40-49,Day 26-31,Never contacted,840-959s,4-5,19.8,178.2,3.3754949223584654
30,technician,single,secondary,no,4787,yes,no,unknown,4,jun,99,2,-1,0,unknown,no,1k to 10k,30-39,Day 1-5,Never contacted,0-119s,2,3.3,33.0,0.37505499137316284
44,blue-collar,married,secondary,no,508,yes,no,cellular,20,apr,222,1,154,1,failure,no,0 to 1k,40-49,Day 16-20,3-6 months,120-239s,1,5.045454545454546,111.0,0.8410324048973955
34,entrepreneur,married,tertiary,no,105,yes,no,unknown,28,may,249,2,-1,0,unknown,no,0 to 1k,30-39,Day 26-31,Never contacted,240-359s,2,7.323529411764706,83.0,0.9433201298173489
41,entrepreneur,married,tertiary,no,221,yes,no,unknown,14,may,57,2,-1,0,unknown,no,0 to 1k,40-49,Day 11-15,Never contacted,0-119s,2,1.3902439024390243,19.0,0.21594075260879073
36,management,married,tertiary,no,605,yes,no,unknown,26,may,204,1,-1,0,unknown,no,0 to 1k,30-39,Day 26-31,Never contacted,120-239s,1,5.666666666666667,102.0,0.7728405882840931
39,technician,married,secondary,yes,-183,yes,no,unknown,14,may,202,2,-1,0,unknown,no,-1k to 0,30-39,Day 11-15,Never contacted,120-239s,2,5.17948717948718,67.33333333333333,0.765263719771504
48,management,married,secondary,no,0,yes,no,cellular,8,may,612,1,344,1,other,no,-1k to 0,40-49,Day 6-10,6-12 months,600-719s,1,12.75,306.0,2.3185217648522793
41,entrepreneur,divorced,secondary,no,1588,yes,yes,unknown,20,jun,10,8,-1,0,unknown,no,1k to 10k,40-49,Day 16-20,Never contacted,0-119s,8-10,0.24390243902439024,1.1111111111111112,0.03788434256294574
43,services,married,primary,no,-88,yes,yes,cellular,17,apr,313,1,147,2,failure,no,-1k to 0,40-49,Day 16-20,3-6 months,240-359s,1,7.27906976744186,156.5,1.1857799222202017
53,management,married,tertiary,no,4,no,no,unknown,20,jun,19,6,-1,0,unknown,no,0 to 1k,50-59,Day 16-20,Never contacted,0-119s,6-7,0.3584905660377358,2.7142857142857144,0.0719802508695969
28,blue-collar,married,primary,no,702,yes,no,unknown,26,jun,318,2,-1,0,unknown,no,0 to 1k,20-29,Day 26-31,Never contacted,240-359s,2,11.357142857142858,106.0,1.2047220935016745
57,blue-collar,married,primary,no,93,yes,no,telephone,17,apr,137,1,-1,0,unknown,no,0 to 1k,50-59,Day 16-20,Never contacted,120-239s,1,2.4035087719298245,68.5,0.5190154931123566
38,housemaid,divorced,secondary,no,70,no,no,cellular,27,oct,255,3,148,1,success,yes,0 to 1k,30-39,Day 26-31,3-6 months,240-359s,3,6.7105263157894735,63.75,0.9660507353551164
39,services,married,secondary,no,9374,yes,no,unknown,20,may,273,1,-1,0,unknown,no,1k to 10k,30-39,Day 16-20,Never contacted,240-359s,1,7.0,136.5,1.0342425519684186
23,student,single,secondary,no,8494,no,no,cellular,25,aug,158,2,-1,0,unknown,no,1k to 10k,20-29,Day 21-25,Never contacted,120-239s,2,6.869565217391305,52.666666666666664,0.5985726124945427
31,management,single,tertiary,no,1494,no,no,cellular,13,aug,275,12,-1,0,unknown,no,1k to 10k,30-39,Day 11-15,Never contacted,240-359s,10+,8.870967741935484,21.153846153846153,1.0418194204810078
29,technician,single,tertiary,no,0,yes,no,unknown,7,may,104,2,-1,0,unknown,no,-1k to 0,20-29,Day 6-10,Never contacted,0-119s,2,3.586206896551724,34.666666666666664,0.3939971626546357
28,blue-collar,single,secondary,no,2700,no,no,cellular,3,feb,337,4,-1,0,unknown,no,1k to 10k,20-29,Day 1-5,Never contacted,240-359s,4-5,12.035714285714286,67.4,1.2767023443712715
43,admin.,married,secondary,no,264,yes,no,cellular,17,apr,113,2,-1,0,unknown,no,0 to 1k,40-49,Day 16-20,Never contacted,0-119s,2,2.627906976744186,37.666666666666664,0.42809307096128685
42,entrepreneur,married,primary,no,198,yes,no,unknown,8,may,314,1,-1,0,unknown,no,0 to 1k,40-49,Day 6-10,Never contacted,240-359s,1,7.476190476190476,157.0,1.1895683564764963
31,blue-collar,married,primary,no,0,yes,yes,unknown,12,may,59,4,-1,0,unknown,no,-1k to 0,30-39,Day 11-15,Never contacted,0-119s,4-5,1.903225806451613,11.8,0.22351762112137988
50,services,married,secondary,no,26394,no,no,cellular,25,aug,206,4,-1,0,unknown,no,10k to 50k,50-59,Day 21-25,Never contacted,120-239s,4-5,4.12,41.2,0.7804174567966823
41,technician,married,secondary,no,1602,yes,no,cellular,2,jun,142,1,-1,0,unknown,no,1k to 10k,40-49,Day 1-5,Never contacted,120-239s,1,3.4634146341463414,71.0,0.5379576643938295
36,technician,married,tertiary,no,1109,no,no,cellular,13,aug,328,2,-1,0,unknown,no,1k to 10k,30-39,Day 11-15,Never contacted,240-359s,2,9.11111111111111,109.33333333333333,1.2426064360646203
48,blue-collar,married,secondary,no,841,yes,no,unknown,19,may,215,1,-1,0,unknown,no,0 to 1k,40-49,Day 16-20,Never contacted,120-239s,1,4.479166666666667,107.5,0.8145133651033334
38,management,married,tertiary,no,46,no,no,cellular,29,aug,70,4,-1,0,unknown,no,0 to 1k,30-39,Day 26-31,Never contacted,0-119s,4-5,1.8421052631578947,14.0,0.2651903979406202
36,services,married,secondary,no,-11,yes,no,cellular,30,jul,172,28,-1,0,unknown,no,-1k to 0,30-39,Day 26-31,Never contacted,120-239s,10+,4.777777777777778,5.931034482758621,0.6516106920826668
30,admin.,married,tertiary,no,0,yes,no,cellular,24,jul,209,2,-1,0,unknown,no,-1k to 0,30-39,Day 21-25,Never contacted,120-239s,2,6.966666666666667,69.66666666666667,0.791782759565566
20,student,single,secondary,no,502,no,no,cellular,30,apr,261,1,-1,0,unknown,yes,0 to 1k,20-29,Day 26-31,Never contacted,240-359s,1,13.05,130.5,0.9887813408928838
34,management,married,tertiary,no,8,no,no,cellular,25,aug,169,4,-1,0,unknown,no,0 to 1k,30-39,Day 21-25,Never contacted,120-239s,4-5,4.970588235294118,33.8,0.640245389313783
31,blue-collar,single,secondary,no,609,yes,no,cellular,14,apr,1126,1,335,1,failure,no,0 to 1k,30-39,Day 11-15,6-12 months,1080-1199s,1,36.32258064516129,563.0,4.26577697258769
49,technician,married,tertiary,no,523,yes,no,cellular,3,mar,152,2,-1,0,unknown,yes,0 to 1k,40-49,Day 1-5,Never contacted,120-239s,2,3.1020408163265305,50.666666666666664,0.5758420069567752
39,technician,married,secondary,no,839,no,no,unknown,30,may,825,2,-1,0,unknown,no,0 to 1k,30-39,Day 26-31,Never contacted,720-839s,2,21.153846153846153,275.0,3.1254582614430237
31,blue-collar,married,secondary,no,360,yes,yes,cellular,29,jan,89,1,241,1,failure,no,0 to 1k,30-39,Day 26-31,6-12 months,0-119s,1,2.870967741935484,44.5,0.3371706488102171
36,admin.,married,secondary,no,470,yes,no,cellular,31,jul,101,4,-1,0,unknown,no,0 to 1k,30-39,Day 26-31,Never contacted,0-119s,4-5,2.8055555555555554,20.2,0.382631859885752
74,retired,divorced,secondary,no,4079,no,no,cellular,19,oct,343,3,-1,0,unknown,yes,1k to 10k,70-79,Day 16-20,Never contacted,240-359s,3,4.635135135135135,85.75,1.299432949909039
49,technician,married,secondary,yes,-74,yes,no,cellular,19,nov,114,1,-1,0,unknown,no,-1k to 0,40-49,Day 16-20,Never contacted,0-119s,1,2.326530612244898,57.0,0.43188150521758145
41,admin.,married,secondary,no,21515,yes,no,unknown,5,jun,87,1,-1,0,unknown,no,10k to 50k,40-49,Day 1-5,Never contacted,0-119s,1,2.1219512195121952,43.5,0.3295937802976279
40,management,married,tertiary,no,194,no,yes,cellular,29,aug,189,2,-1,0,unknown,no,0 to 1k,40-49,Day 26-31,Never contacted,120-239s,2,4.725,63.0,0.7160140744396745
43,retired,married,secondary,no,520,yes,no,unknown,20,may,15,13,-1,0,unknown,no,0 to 1k,40-49,Day 16-20,Never contacted,0-119s,10+,0.3488372093023256,1.0714285714285714,0.056826513844418614
40,management,single,tertiary,no,0,yes,no,cellular,23,feb,228,2,182,6,failure,yes,-1k to 0,40-49,Day 21-25,6-12 months,120-239s,2,5.7,76.0,0.8637630104351629
35,management,married,tertiary,no,0,no,no,cellular,11,jul,89,1,-1,0,unknown,no,-1k to 0,30-39,Day 11-15,Never contacted,0-119s,1,2.5428571428571427,44.5,0.3371706488102171
36,technician,married,secondary,no,5902,yes,no,unknown,23,may,219,4,-1,0,unknown,no,1k to 10k,30-39,Day 21-25,Never contacted,120-239s,4-5,6.083333333333333,43.8,0.8296671021285117
56,technician,married,secondary,no,4073,no,no,cellular,27,aug,239,5,-1,0,unknown,no,1k to 10k,50-59,Day 26-31,Never contacted,120-239s,4-5,4.267857142857143,39.833333333333336,0.9054357872544032
36,blue-collar,married,secondary,no,439,yes,no,unknown,21,may,260,5,-1,0,unknown,no,0 to 1k,30-39,Day 21-25,Never contacted,240-359s,4-5,7.222222222222222,43.333333333333336,0.9849929066365892
43,technician,married,secondary,no,7876,yes,no,cellular,11,aug,209,2,-1,0,unknown,no,1k to 10k,40-49,Day 11-15,Never contacted,120-239s,2,4.8604651162790695,69.66666666666667,0.791782759565566
39,technician,single,secondary,no,122,yes,no,unknown,2,jun,158,1,-1,0,unknown,no,0 to 1k,30-39,Day 1-5,Never contacted,120-239s,1,4.051282051282051,79.0,0.5985726124945427
37,management,married,tertiary,no,547,yes,yes,unknown,21,may,143,1,-1,0,unknown,no,0 to 1k,30-39,Day 21-25,Never contacted,120-239s,1,3.864864864864865,71.5,0.5417460986501241
37,admin.,single,tertiary,no,2317,yes,no,cellular,20,apr,114,1,152,2,failure,no,1k to 10k,30-39,Day 16-20,3-6 months,0-119s,1,3.081081081081081,57.0,0.43188150521758145
49,blue-collar,married,secondary,no,-454,yes,no,cellular,14,may,558,1,-1,0,unknown,yes,-1k to 0,40-49,Day 11-15,Never contacted,480-599s,1,11.387755102040817,279.0,2.1139463150123725
34,technician,single,tertiary,no,925,yes,no,cellular,13,apr,709,1,-1,0,unknown,yes,0 to 1k,30-39,Day 11-15,Never contacted,600-719s,1,20.852941176470587,354.5,2.6859998877128533
34,blue-collar,married,primary,no,351,no,yes,cellular,14,jul,326,11,-1,0,unknown,no,0 to 1k,30-39,Day 11-15,Never contacted,240-359s,10+,9.588235294117647,27.166666666666668,1.235029567552031
59,self-employed,married,tertiary,no,3800,no,yes,cellular,9,jul,70,1,-1,0,unknown,no,1k to 10k,50-59,Day 6-10,Never contacted,0-119s,1,1.1864406779661016,35.0,0.2651903979406202
25,blue-collar,single,primary,no,-221,yes,no,unknown,23,may,250,1,-1,0,unknown,no,-1k to 0,20-29,Day 21-25,Never contacted,240-359s,1,10.0,125.0,0.9471085640736435
55,retired,married,secondary,no,466,no,no,unknown,17,jun,287,4,-1,0,unknown,no,0 to 1k,50-59,Day 16-20,Never contacted,240-359s,4-5,5.218181818181818,57.4,1.0872806315565429
54,management,divorced,tertiary,no,7010,no,no,cellular,11,mar,275,2,-1,0,unknown,no,1k to 10k,50-59,Day 11-15,Never contacted,240-359s,2,5.092592592592593,91.66666666666667,1.0418194204810078
57,self-employed,married,secondary,no,35,no,yes,unknown,26,jun,215,3,-1,0,unknown,no,0 to 1k,50-59,Day 26-31,Never contacted,120-239s,3,3.7719298245614037,53.75,0.8145133651033334
26,technician,single,secondary,no,261,yes,no,unknown,27,may,371,2,-1,0,unknown,no,0 to 1k,20-29,Day 26-31,Never contacted,360-479s,2,14.26923076923077,123.66666666666667,1.405509109085287
31,services,married,secondary,no,132,no,no,cellular,7,jul,148,1,152,1,other,no,0 to 1k,30-39,Day 6-10,3-6 months,120-239s,1,4.774193548387097,74.0,0.5606882699315969
53,retired,married,secondary,no,665,yes,no,cellular,22,apr,371,2,-1,0,unknown,yes,0 to 1k,50-59,Day 21-25,Never contacted,360-479s,2,7.0,123.66666666666667,1.405509109085287
51,blue-collar,married,primary,no,42,yes,no,cellular,12,may,51,2,342,3,failure,no,0 to 1k,50-59,Day 11-15,6-12 months,0-119s,2,1.0,17.0,0.19321014707102327
37,technician,divorced,secondary,no,2610,yes,no,cellular,13,may,53,1,-1,0,unknown,no,1k to 10k,30-39,Day 11-15,Never contacted,0-119s,1,1.4324324324324325,26.5,0.20078701558361242
43,technician,married,secondary,no,0,yes,yes,cellular,4,feb,539,8,204,5,failure,no,-1k to 0,40-49,Day 1-5,6-12 months,480-599s,8-10,12.534883720930232,59.888888888888886,2.0419660641427755
38,management,divorced,primary,no,0,yes,no,cellular,18,nov,96,2,-1,0,unknown,no,-1k to 0,30-39,Day 16-20,Never contacted,0-119s,2,2.526315789473684,32.0,0.36368968860427914
42,technician,married,secondary,no,994,yes,no,cellular,11,aug,149,1,78,5,failure,yes,0 to 1k,40-49,Day 11-15,1-3 months,120-239s,1,3.5476190476190474,74.5,0.5644767041878915
33,blue-collar,married,secondary,no,285,no,yes,unknown,3,jul,267,1,-1,0,unknown,no,0 to 1k,30-39,Day 1-5,Never contacted,240-359s,1,8.090909090909092,133.5,1.0115119464306512
25,services,single,secondary,no,64,no,no,cellular,21,jul,71,11,-1,0,unknown,no,0 to 1k,20-29,Day 21-25,Never contacted,0-119s,10+,2.84,5.916666666666667,0.26897883219691476
42,management,married,secondary,yes,-34,no,no,cellular,5,feb,176,1,-1,0,unknown,no,-1k to 0,40-49,Day 1-5,Never contacted,120-239s,1,4.190476190476191,88.0,0.6667644291078451
42,management,divorced,tertiary,no,16,no,no,cellular,19,nov,140,3,-1,0,unknown,no,0 to 1k,40-49,Day 16-20,Never contacted,120-239s,3,3.3333333333333335,35.0,0.5303807958812404
45,admin.,married,secondary,no,5346,yes,yes,unknown,21,oct,187,1,-1,0,unknown,yes,1k to 10k,40-49,Day 21-25,Never contacted,120-239s,1,4.155555555555556,93.5,0.7084372059270854
41,technician,married,tertiary,no,0,no,no,unknown,20,jun,95,1,-1,0,unknown,no,-1k to 0,40-49,Day 16-20,Never contacted,0-119s,1,2.317073170731707,47.5,0.35990125434798453
43,blue-collar,married,primary,no,60,no,no,cellular,8,may,487,2,367,2,other,no,0 to 1k,40-49,Day 6-10,1-2 years,480-599s,2,11.325581395348838,162.33333333333334,1.8449674828154576
46,blue-collar,married,secondary,no,9328,yes,no,cellular,5,may,725,3,-1,0,unknown,yes,1k to 10k,40-49,Day 1-5,Never contacted,720-839s,3,15.76086956521739,181.25,2.746614835813566
44,services,single,secondary,no,106,no,no,unknown,12,jun,109,2,-1,0,unknown,no,0 to 1k,40-49,Day 11-15,Never contacted,0-119s,2,2.477272727272727,36.333333333333336,0.4129393339361086
31,blue-collar,married,secondary,no,1243,yes,no,unknown,21,may,32,1,-1,0,unknown,no,1k to 10k,30-39,Day 21-25,Never contacted,0-119s,1,1.032258064516129,16.0,0.12122989620142637
33,management,single,tertiary,no,3170,no,no,cellular,28,oct,246,2,-1,0,unknown,no,1k to 10k,30-39,Day 26-31,Never contacted,240-359s,2,7.454545454545454,82.0,0.9319548270484652
37,blue-collar,married,secondary,no,342,yes,no,cellular,12,may,340,2,175,1,failure,no,0 to 1k,30-39,Day 11-15,3-6 months,240-359s,2,9.18918918918919,113.33333333333333,1.288067647140155
31,admin.,married,secondary,no,5,yes,yes,cellular,16,jul,101,7,-1,0,unknown,no,0 to 1k,30-39,Day 16-20,Never contacted,0-119s,6-7,3.2580645161290325,12.625,0.382631859885752
44,entrepreneur,married,secondary,no,93,no,no,cellular,7,jul,125,2,-1,0,unknown,no,0 to 1k,40-49,Day 6-10,Never contacted,120-239s,2,2.840909090909091,41.666666666666664,0.47355428203682176
32,admin.,married,tertiary,no,0,yes,no,unknown,5,may,138,1,-1,0,unknown,no,-1k to 0,30-39,Day 1-5,Never contacted,120-239s,1,4.3125,69.0,0.5228039273686512
48,admin.,married,secondary,no,8,no,yes,cellular,7,jul,46,1,-1,0,unknown,no,0 to 1k,40-49,Day 6-10,Never contacted,0-119s,1,0.9583333333333334,23.0,0.17426797578955042
36,blue-collar,single,tertiary,no,1830,no,no,cellular,14,oct,183,1,91,11,failure,no,1k to 10k,30-39,Day 11-15,3-6 months,120-239s,1,5.083333333333333,91.5,0.6932834689019071
43,unemployed,married,secondary,no,3529,no,no,cellular,5,feb,169,2,-1,0,unknown,no,1k to 10k,40-49,Day 1-5,Never contacted,120-239s,2,3.9302325581395348,56.333333333333336,0.640245389313783
26,housemaid,married,tertiary,no,543,no,no,cellular,30,jan,169,3,-1,0,unknown,no,0 to 1k,20-29,Day 26-31,Never contacted,120-239s,3,6.5,42.25,0.640245389313783
36,blue-collar,married,secondary,no,2357,yes,no,unknown,17,jun,228,2,-1,0,unknown,no,1k to 10k,30-39,Day 16-20,Never contacted,120-239s,2,6.333333333333333,76.0,0.8637630104351629
42,self-employed,divorced,tertiary,no,216,yes,no,cellular,8,may,144,3,-1,0,unknown,no,0 to 1k,40-49,Day 6-10,Never contacted,120-239s,3,3.4285714285714284,36.0,0.5455345329064186
49,management,divorced,tertiary,no,1904,no,yes,cellular,17,nov,131,2,-1,0,unknown,no,1k to 10k,40-49,Day 16-20,Never contacted,120-239s,2,2.673469387755102,43.666666666666664,0.4962848875745892
48,blue-collar,single,tertiary,no,2330,yes,no,unknown,4,jun,15,1,-1,0,unknown,no,1k to 10k,40-49,Day 1-5,Never contacted,0-119s,1,0.3125,7.5,0.056826513844418614
41,management,married,tertiary,no,5883,no,no,cellular,20,nov,182,2,-1,0,unknown,no,1k to 10k,40-49,Day 16-20,Never contacted,120-239s,2,4.439024390243903,60.666666666666664,0.6894950346456125
56,retired,married,secondary,no,1044,no,no,telephone,3,jul,353,2,-1,0,unknown,yes,1k to 10k,50-59,Day 1-5,Never contacted,240-359s,2,6.303571428571429,117.66666666666667,1.3373172924719847
35,management,single,tertiary,no,2975,no,no,cellular,8,aug,249,2,-1,0,unknown,no,1k to 10k,30-39,Day 6-10,Never contacted,240-359s,2,7.114285714285714,83.0,0.9433201298173489
38,management,single,tertiary,no,16957,yes,no,telephone,29,jan,208,1,247,2,failure,no,10k to 50k,30-39,Day 26-31,6-12 months,120-239s,1,5.473684210526316,104.0,0.7879943253092714
41,blue-collar,married,secondary,no,1334,yes,no,cellular,20,apr,234,5,-1,0,unknown,no,1k to 10k,40-49,Day 16-20,Never contacted,120-239s,4-5,5.7073170731707314,39.0,0.8864936159729303
55,blue-collar,married,primary,no,627,yes,no,unknown,5,may,247,1,-1,0,unknown,no,0 to 1k,50-59,Day 1-5,Never contacted,240-359s,1,4.490909090909091,123.5,0.9357432613047598
46,admin.,married,secondary,no,1069,yes,no,unknown,8,may,45,2,-1,0,unknown,no,1k to 10k,40-49,Day 6-10,Never contacted,0-119s,2,0.9782608695652174,15.0,0.17047954153325584
25,admin.,married,secondary,no,894,yes,no,unknown,28,may,328,1,-1,0,unknown,no,0 to 1k,20-29,Day 26-31,Never contacted,240-359s,1,13.12,164.0,1.2426064360646203
39,management,divorced,tertiary,no,26,no,no,unknown,18,jun,311,5,-1,0,unknown,no,0 to 1k,30-39,Day 16-20,Never contacted,240-359s,4-5,7.9743589743589745,51.833333333333336,1.1782030537076125
32,self-employed,married,tertiary,no,3601,no,no,cellular,22,aug,171,15,-1,0,unknown,no,1k to 10k,30-39,Day 21-25,Never contacted,120-239s,10+,5.34375,10.6875,0.6478222578263721
67,retired,married,primary,no,696,no,no,telephone,17,aug,119,1,105,2,failure,no,0 to 1k,60-69,Day 16-20,3-6 months,0-119s,1,1.7761194029850746,59.5,0.4508236764990543
41,housemaid,single,secondary,no,231,no,no,cellular,9,jul,76,2,-1,0,unknown,no,0 to 1k,40-49,Day 6-10,Never contacted,0-119s,2,1.853658536585366,25.333333333333332,0.2879210034783876
38,blue-collar,single,primary,no,490,yes,yes,unknown,25,aug,17,1,-1,0,unknown,no,0 to 1k,30-39,Day 21-25,Never contacted,0-119s,1,0.4473684210526316,8.5,0.06440338235700777
40,management,married,tertiary,no,0,no,no,cellular,10,nov,147,1,96,8,success,yes,-1k to 0,40-49,Day 6-10,3-6 months,120-239s,1,3.675,73.5,0.5568998356753024
45,technician,married,tertiary,no,265,no,no,cellular,28,aug,14,3,-1,0,unknown,no,0 to 1k,40-49,Day 26-31,Never contacted,0-119s,3,0.3111111111111111,3.5,0.05303807958812404
56,self-employed,married,secondary,no,784,no,yes,cellular,30,jul,149,2,-1,0,unknown,no,0 to 1k,50-59,Day 26-31,Never contacted,120-239s,2,2.6607142857142856,49.666666666666664,0.5644767041878915
